close,asks,bids,volume,volatile,StochRSI
460.3,485.9,440.11,24490.05997,513.9583175807002,0.3121113979664905
466.67,470.98,445.0,23182.65949,518.7498347414411,0.3629621270964455
452.26,468.67,445.21,25387.11695,519.4925698295999,0.10969573830308767
411.01,455.1,400.0,38638.76036,515.5916816327225,0.0
406.33,427.61,375.01,41343.73269,510.12980039772947,0.0
442.56,456.78,390.0,41064.60305,507.02867175159446,0.2591161555062898
460.0,488.0,426.4,41918.34044,504.8392281641936,0.36254117098325145
427.35,460.05,403.2,34919.25938,500.6005786864618,0.09537184403047962
508.7,512.0,427.35,29763.16644,504.6363109189732,0.5428495691845215
620.0,639.27,494.89,59387.02259,547.806291557602,1.0
683.99,705.69,539.93,57694.18773,602.1208273464055,1.0
679.76,747.6,630.5,60919.26902,641.0446563299547,0.9712051664667043
